filename,duration,transcription
bellingcat-tool/amazonfinds/media/7356657695170006278.mp4,13, Let's do this.
bellingcat-tool/amazonfinds/media/6963464985787813126.mp4,16, Nobody's gonna know. Nobody's gonna know. They're gonna know. How would they know? How would they
bellingcat-tool/amazonfinds/media/7363665666995539206.mp4,0, Gone don't leave soranchise geo whole
bellingcat-tool/amazonfinds/media/6904379047493504262.mp4,15, This is to all the moms out there because obviously I had no idea. So you're supposed to keep your child's baby teeth because once your child grows up and possibly develops cancer or a spinal cord injury.
bellingcat-tool/amazonfinds/media/6884350493737405701.mp4,30," Random things on Amazon that just make sense. Work from home edition. This exercise bike is perfect for anyone who works long hours at a desk. The seat adjusts for any height so if you're short like me, you can bike comfortably. You can even slide the desk closer or further and up and down for comfort. This bike comes with different resistances and even tracks your calories, distance, and miles so you can set daily goals. I try to bike at least an hour a day. The best part though, it comes on wheels so I like to move it outside and get fresh air."
bellingcat-tool/amazonfinds/media/6841361727989337349.mp4,31," Things you didn't know you needed off Amazon, part 29. Alright, so this is our portable door lock. It's super compact. I use this all the time when I'm home alone, but it's perfect for you if you live in an apartment or if you travel a lot. You can carry this around and it's just another safety precaution to make sure that you are secure in the room you're in. Alright, so you're going to stick the metal piece into the strike of the door just like that and then you're going to shut the door with the metal piece inside and lastly you're going to stick the bead into the hole, press down just like that and you're secure."
bellingcat-tool/amazonfinds/media/6804410092385996038.mp4,14, this meeting.
bellingcat-tool/amazonfinds/media/7125350350713883950.mp4,9, Put Angul upon your fingers And dance with me With you Sing didn't know This song is designed to be YG
bellingcat-tool/amazonfinds/media/7168422418480893230.mp4,47," OK guys, I'm back. Ho ho, the Jinx. I just covered my face, purposemom. Are you ready to go in third place, on the second place? Click bound. Having a long night. We are just starting to cover each next Timothy and my formally masseuse."
bellingcat-tool/amazonfinds/media/7110996575568153898.mp4,52," You stay on my mind, think about you all the time Got to get to know you well, if you kiss then I will tell You stay on my mind, think about you all the time Got to get to know you well, if you kiss then I will tell You stay on my mind, think about you all the time Got to get to know you well, if you kiss then I will tell Bad moves, bad, cooking up your winter boots My niggas are savage boots We got thutters and hunter-rocks too My bitch is bad and boots Bad, cooking up your winter boots My niggas are savage boots We got thutters and hunter-rocks too Get out the way, my seat, wanna go dancing Get out the way, my seat, wanna go dancing"
