id,author_nickname,author_uniqueId,stats_collectCount,stats_commentCount,stats_diggCount,stats_shareCount,stats_playCount,video_duration,isAd
6925565671967296774,Anya,anya.bumag,2240,54,22800,591,387900,15,
6923712622088965382,Anya,anya.bumag,1527,48,18600,266,292000,20,
6922242186142600453,Anya,anya.bumag,9228,194,91600,2494,1300000,16,
6921113825135693062,Anya,anya.bumag,1793,37,21400,490,291100,17,
6920404936899431686,Anya,anya.bumag,2272,63,19700,540,286000,21,
6918865640686193925,Anya,anya.bumag,1221,89,14700,346,291500,14,
6917050596256140550,Anya,anya.bumag,262200,8660,2500000,239500,33800000,21,True
6916273916717698310,Anya,anya.bumag,10000,245,120400,3996,1500000,20,
6914841381173267718,Anya,anya.bumag,3682,68,36400,807,495100,20,
6913660794186091782,Anya,anya.bumag,104100,4072,1100000,73800,14300000,15,
6913286586650217733,Anya,anya.bumag,2384,85,27500,555,427700,18,
6912969011496013062,Anya,anya.bumag,3335,98,46900,866,553700,16,
6912906870596439302,Anya,anya.bumag,59500,1455,771400,5487,3900000,20,
6912223126915124486,Anya,anya.bumag,2401,55,35800,634,527300,15,
6911039368454999302,Anya,anya.bumag,16300,288,178400,4018,2200000,18,
6909995489333087493,Anya,anya.bumag,2784,61,35000,1113,544300,17,
6909081496787668230,Anya,anya.bumag,1383,108,20900,787,438600,15,
6908145818549751045,Anya,anya.bumag,1891,76,32800,789,470300,14,
6906665496796548357,Anya,anya.bumag,9054,153,77600,2896,918400,17,
6905530023403392262,Anya,anya.bumag,23200,663,278800,3146,2000000,16,
6904445085165964545,Anya,anya.bumag,10800,454,150600,3432,2000000,18,
6903698535422774530,Anya,anya.bumag,4255,118,53600,2252,707100,13,
6902932846126632193,Anya,anya.bumag,611,66,17500,676,459800,17,
6902024848793472257,Anya,anya.bumag,3045,160,54500,1542,861900,15,
6901287257395842306,Anya,anya.bumag,279400,8473,4300000,61700,39900000,16,
6900658001569434882,Anya,anya.bumag,13100,483,262000,2834,3800000,14,
6900327966002154753,Anya,anya.bumag,11000,209,104400,3796,1300000,16,
6899602798493633794,Anya,anya.bumag,9556,115,98100,3226,1400000,15,
6898861852839775490,Anya,anya.bumag,3410,67,47700,1437,634500,27,
6898115891163073793,Anya,anya.bumag,7052,154,79500,2300,879000,15,
6897754684920974594,Anya,anya.bumag,10000,393,123400,4299,1300000,17,
6891436491172629762,Anya,anya.bumag,1232,37,26400,455,519100,14,
6890702782790225154,Anya,anya.bumag,9148,273,66100,5583,578500,19,
7254634822965021958,Anya,anya.bumag,8996,184,26700,2575,1000000,19,
7253904356360195333,Anya,anya.bumag,5022,68,12300,1482,370100,16,
7253472301017091334,Anya,anya.bumag,24400,98,66600,9277,1000000,16,
7252362723332328709,Anya,anya.bumag,11000,106,24400,3093,790500,16,
7252064084462439686,Anya,anya.bumag,27900,99,89400,4803,1400000,21,
7249000393030634758,Anya,anya.bumag,17400,286,59800,36200,3500000,9,
7247973193841921285,Anya,anya.bumag,3916,51,14200,2647,723200,15,
7243201439923735814,Anya,anya.bumag,21600,67,63400,1722,1500000,13,
7242461227874635014,Anya,anya.bumag,2591,20,5148,577,123400,13,
7239508420179594502,Anya,anya.bumag,12100,79,42300,3188,1000000,17,
7238014195411766534,Anya,anya.bumag,3990,43,7461,1031,273300,12,
7236516655826750725,Anya,anya.bumag,2295,20,6833,773,179200,12,
7234316125201255685,Anya,anya.bumag,3163,22,5534,702,122900,18,
7231693429653179653,Anya,anya.bumag,1089,16,4012,221,253100,18,
7230956063393172742,Anya,anya.bumag,15800,151,46300,4490,1600000,20,
7230201662491659525,Anya,anya.bumag,1936,7,4282,253,107800,16,
7229464628298845445,Anya,anya.bumag,6560,37,22100,2083,446600,11,
7227978658558790918,Anya,anya.bumag,11700,62,34400,1783,1100000,16,
7225753297691479301,Anya,anya.bumag,2837,18,8185,331,226000,17,
7224649870186007814,Anya,anya.bumag,117800,2120,356800,53400,7200000,14,
7223165751610526982,Anya,anya.bumag,2208,29,6393,1229,161100,18,
7217975957972356357,Anya,anya.bumag,2406,21,8653,619,232000,14,
7217228193017826566,Anya,anya.bumag,2492,36,7581,629,207400,16,
7216482877947628806,Anya,anya.bumag,59900,212,233100,8479,3900000,16,
7216118951292587269,Anya,anya.bumag,103900,845,317900,24800,7500000,17,
7215742246434524421,Anya,anya.bumag,1978,22,5714,741,137700,12,
7215009048322673925,Anya,anya.bumag,1468,10,4022,264,102400,12,
7213524595066899717,Anya,anya.bumag,2355,35,5682,914,122900,13,
7212771541304626437,Anya,anya.bumag,2563,14,6874,427,145800,14,
7211652846792625413,Anya,anya.bumag,1983,12,4744,560,110300,14,
7211297949874162949,Anya,anya.bumag,23900,268,58000,12400,1500000,16,
7205370677279329541,Anya,anya.bumag,2414,14,5069,346,140100,15,
7204252662093679877,Anya,anya.bumag,1887,9,3842,404,89000,16,
7203509093863034117,Anya,anya.bumag,1830,14,3926,274,106000,15,
7003493909536001286,Anya,anya.bumag,863,15,8211,233,103200,16,
7001266339717434629,Anya,anya.bumag,787,19,8159,292,103900,16,
6997928476657356037,Anya,anya.bumag,739,21,9669,144,97000,21,
6997188126926015749,Anya,anya.bumag,1091,34,9658,312,98200,16,
6996308584564788486,Anya,anya.bumag,271,20,3593,90,74300,12,
6994954081999555845,Anya,anya.bumag,871,37,8871,400,109300,11,
6990882553511087365,Anya,anya.bumag,267,23,5142,37,74400,9,
6987168373041843462,Anya,anya.bumag,681,28,6144,171,72300,17,
6984576841004682501,Anya,anya.bumag,913,31,12100,180,136800,8,
6976346573592661254,Anya,anya.bumag,773,52,8478,162,113200,15,
6975971860735593734,Anya,anya.bumag,2274,107,21100,631,439600,12,
6975298544412511493,Anya,anya.bumag,392,45,5321,134,80300,15,
6970789187553463558,Anya,anya.bumag,1770,83,15500,578,194600,15,True
6970100723040144645,Anya,anya.bumag,918,67,12000,913,129600,16,
6968247933980511494,Anya,anya.bumag,897,43,9053,294,120000,15,True
6967871203100921094,Anya,anya.bumag,1341,58,12100,991,126500,20,
6963790060906941702,Anya,anya.bumag,3497,69,33700,1233,404500,15,
6960378812433534214,Anya,anya.bumag,69100,832,737100,14600,4500000,14,
6958587151793556742,Anya,anya.bumag,32700,739,213900,20900,3600000,19,True
6957795661177818374,Anya,anya.bumag,14200,258,125900,7111,1600000,19,
7202767980206378246,Anya,anya.bumag,934,4,2261,137,85200,11,
7202023381309459718,Anya,anya.bumag,20000,337,49400,5836,1100000,11,
7201279028131613957,Anya,anya.bumag,2159,16,5624,718,153500,9,
7200186089741552901,Anya,anya.bumag,710,8,1872,93,83500,10,
7199435691204332806,Anya,anya.bumag,1970,17,5294,634,173700,10,
7199075374829964550,Anya,anya.bumag,1070,4,2425,152,72000,14,
7198684673252379909,Anya,anya.bumag,1290,5,3535,180,93500,11,
7198311694572014853,Anya,anya.bumag,1409,17,3112,490,91800,18,
7119967501848497413,Anya,anya.bumag,773,8,2008,94,72600,13,
7109624904911244549,Anya,anya.bumag,1273,6,3945,83,176600,14,
7107776399951318278,Anya,anya.bumag,936,3,3628,97,89500,12,
7105857984504335621,Anya,anya.bumag,5110,14,14500,292,374000,14,
7101470232417520902,Anya,anya.bumag,1050,2,2474,96,56400,13,
7100350422400945413,Anya,anya.bumag,1559,13,8162,110,108900,14,
7099984995715927301,Anya,anya.bumag,771,10,4097,84,81700,14,
7099598375250578694,Anya,anya.bumag,6786,129,21600,2749,390700,16,
7099241505692339461,Anya,anya.bumag,1404,8,4093,118,91300,12,
7094049188555541765,Anya,anya.bumag,1064,8,5848,105,137300,13,
7093681045958085893,Anya,anya.bumag,1188,17,7198,112,147200,12,
7092564790085766406,Anya,anya.bumag,819,5,6938,66,120300,16,
7091822420792741126,Anya,anya.bumag,1026,10,5189,121,82500,15,
7090326054711151878,Anya,anya.bumag,614,8,2255,102,55200,10,
7089972182809365766,Anya,anya.bumag,307,3,1651,68,50700,15,
7084320869635443974,Anya,anya.bumag,1062,29,5794,227,89300,14,
7081801273447697670,Anya,anya.bumag,721,16,5320,148,99400,9,
7034321177233427717,Anya,anya.bumag,717,19,4814,234,78200,11,
7032788959692328198,Anya,anya.bumag,286,5,3294,23,52400,14,
7032084423692668166,Anya,anya.bumag,255,3,1968,51,43700,14,
7031710160045329669,Anya,anya.bumag,350,12,4177,44,66100,11,
7030974637961956613,Anya,anya.bumag,269,8,1380,87,33700,26,
7029486583434710278,Anya,anya.bumag,617,10,6424,227,78200,12,
7021657209784323334,Anya,anya.bumag,1136,24,12100,202,151000,16,
7021305624117906694,Anya,anya.bumag,1178,37,7875,434,101700,15,
7020935587834137861,Anya,anya.bumag,542,13,5347,136,71100,11,
7018699638920285446,Anya,anya.bumag,419,24,3743,128,55800,17,
7012338157165284614,Anya,anya.bumag,487,32,6740,263,87700,22,
7012008306986241285,Anya,anya.bumag,731,14,10300,164,112200,17,
7007951477993966853,Anya,anya.bumag,593,25,5554,262,68200,15,
6882453406762552577,Anya,anya.bumag,5269,107,47300,2017,507200,13,
6874662778632719618,Anya,anya.bumag,1866,33,26600,352,526900,13,
6872872053251329282,Anya,anya.bumag,3418,88,39200,1273,499700,19,
6870263019369188613,Anya,anya.bumag,5189,113,45100,1255,587500,15,
6868039054479363334,Anya,anya.bumag,3267,69,38100,633,590000,20,
6867877889153486085,Anya,anya.bumag,2521,30,26100,444,425800,13,
6866555970877672710,Anya,anya.bumag,2623,43,20800,643,381500,33,
6864703529190247686,Anya,anya.bumag,1608,22,19900,368,385400,15,
6863965947003194630,Anya,anya.bumag,3046,102,23400,747,359100,17,
6862844057161403654,Anya,anya.bumag,4240,60,34700,1129,389800,22,
6862468220977155334,Anya,anya.bumag,5495,134,53500,1689,657100,28,
6862108511946427654,Anya,anya.bumag,3322,66,27800,878,324700,33,
7382301967000849669,Anya,anya.bumag,5552,166,36600,6407,797500,26,
7381204661639892229,Anya,anya.bumag,536,4,2451,106,43300,21,
7380156273687334150,Anya,anya.bumag,116,1,498,23,24200,16,
