file_name,intonations,duration,intonation_per_15,id,author_nickname,author_uniqueId,stats_collectCount,stats_commentCount,stats_diggCount,stats_shareCount,stats_playCount,video_duration,isAd,authorStats_followingCount,authorStats_followerCount,authorStats_likeCount
7236516655826750725_pitch_values,9,12.629092970521542,10.68960378351106,7236516655826750725,Anya,anya.bumag,2295,20,6833,773,179200,12,,278,818700,21800000
7310344854129642757_pitch_values,153,82.37603174603174,27.86004559039172,7310344854129642757,Sam Shan Shops 🦋,sam.shan.shops,401100,4111,1100000,110600,15800000,82,,937,1100000,41300000
7185585185465879854_pitch_values,54,35.616848072562355,22.74204607745704,7185585185465879854,Jared Andersen,stuffyouactuallyneed,1381,37,10100,377,131000,35,,1083,1400000,65700000
7171239119006387502_pitch_values,11,18.062562358276644,9.134916559853067,7171239119006387502,Justice Buys,justicebuys,14600,217,86000,2344,1800000,18,,66,1200000,36600000
7254545022639426822_pitch_values,68,47.55480725623583,21.44893563555025,7254545022639426822,Sam Shan Shops 🦋,sam.shan.shops,23200,325,91300,11100,2200000,47,,937,1100000,41300000
7254410849408797957_pitch_values,87,50.402154195011335,25.89175047857707,7254410849408797957,Sam Shan Shops 🦋,sam.shan.shops,37200,494,131900,21000,3500000,50,,937,1100000,41300000
7305075149299076358_pitch_values,72,33.26582766439909,32.465748662427245,7305075149299076358,Sam Shan Shops 🦋,sam.shan.shops,2766,28,7430,283,235500,33,,937,1100000,41300000
6860241089639550214_pitch_values,16,21.58909297052154,11.116724557520962,6860241089639550214,Jared Andersen,stuffyouactuallyneed,447,87,6184,201,107400,21,,1083,1400000,65700000
7099984995715927301_pitch_values,9,13.987460317460318,9.65150191214353,7099984995715927301,Anya,anya.bumag,771,10,4097,84,81700,14,,278,818700,21800000
7277685183816633646_pitch_values,42,34.04950113378685,18.50247372273128,7277685183816633646,Jared Andersen,stuffyouactuallyneed,1077,68,13000,279,179600,34,,1083,1400000,65700000
7257601562061671685_pitch_values,32,19.26419501133787,24.916691287515405,7257601562061671685,Sam Shan Shops 🦋,sam.shan.shops,3573,28,19300,1552,421400,19,,937,1100000,41300000
6909995489333087493_pitch_values,26,17.513990929705216,22.267911498031378,6909995489333087493,Anya,anya.bumag,2784,61,35000,1113,544300,17,,278,818700,21800000
7006080822990195974_pitch_values,5,18.42827664399093,4.069832543156221,7006080822990195974,Jared Andersen,stuffyouactuallyneed,12100,722,193700,8858,3300000,18,,1083,1400000,65700000
7098430784482086186_pitch_values,24,17.696848072562357,20.34260556026093,7098430784482086186,Margaret & Stetson,everythingenvy,767,45,6723,1193,323600,17,,27,406000,9400000
7201515135079353605_pitch_values,32,24.85439909297052,19.31247656418926,7201515135079353605,Sam Shan Shops 🦋,sam.shan.shops,2968,10,10900,665,216800,24,,937,1100000,41300000
7029486583434710278_pitch_values,11,12.811950113378686,12.878601504052162,7029486583434710278,Anya,anya.bumag,617,10,6424,227,78200,12,,278,818700,21800000
7098727274781904174_pitch_values,36,46.90174603174603,11.51343064359468,7098727274781904174,AMAZON FINDS,ariellebrimhall,0,0,18,0,618,47,,1988,209600,2900000
7175544526260587822_pitch_values,11,12.733582766439907,12.957861351862965,7175544526260587822,Jared Andersen,stuffyouactuallyneed,282,10,3730,176,89900,12,,1083,1400000,65700000
7216004876747148550_pitch_values,19,17.513990929705216,16.2727045562537,7216004876747148550,Sam Shan Shops 🦋,sam.shan.shops,1554,9,7359,319,217800,17,,937,1100000,41300000
7203841878519811333_pitch_values,25,17.931950113378686,20.91239366767029,7203841878519811333,Sam Shan Shops 🦋,sam.shan.shops,16100,246,83100,15000,2600000,17,,937,1100000,41300000
7084024923974290730_pitch_values,15,39.06501133786848,5.759629711969175,7084024923974290730,AMAZON FINDS,ariellebrimhall,1,0,8,0,347,39,,1988,209600,2900000
7124717676865359150_pitch_values,29,28.433174603174603,15.29903030776703,7124717676865359150,AMAZON FINDS,ariellebrimhall,11,3,52,6,3499,28,,1988,209600,2900000
7309939804400110853_pitch_values,26,17.27888888888889,22.570895762330395,7309939804400110853,Sam Shan Shops 🦋,sam.shan.shops,20200,235,100200,7899,1900000,17,,937,1100000,41300000
7299930664323861765_pitch_values,12,15.73766439909297,11.43752944753188,7299930664323861765,Anya,anya.bumag,16400,379,52000,7074,2200000,15,,278,818700,21800000
7100350422400945413_pitch_values,6,14.640521541950111,6.147321988640852,7100350422400945413,Anya,anya.bumag,1559,13,8162,110,108900,14,,278,818700,21800000
7300089624154721579_pitch_values,27,18.42827664399093,21.9770957330436,7300089624154721579,Justice Buys,justicebuys,631,6,2926,83,101000,18,,66,1200000,36600000
7294375317786037550_pitch_values,34,26.891950113378684,18.964783061466267,7294375317786037550,Jared Andersen,stuffyouactuallyneed,574,30,7928,33,131200,26,,1083,1400000,65700000
7073199658184559918_pitch_values,25,19.73439909297052,19.00235209764136,7073199658184559918,Margaret & Stetson,everythingenvy,58,7,609,15,17700,19,,27,406000,9400000
7158213573662231854_pitch_values,6,21.74582766439909,4.1387249723928585,7158213573662231854,Justice Buys,justicebuys,1989,7,6998,222,169300,21,,66,1200000,36600000
7167758721903332614_pitch_values,19,23.67888888888889,12.036037726995447,7167758721903332614,Sam Shan Shops 🦋,sam.shan.shops,590,12,1988,53,82500,23,,937,1100000,41300000
7094004328138067243_pitch_values,15,14.640521541950111,15.368304971602129,7094004328138067243,Jared Andersen,stuffyouactuallyneed,1112,129,12600,963,266600,14,,1083,1400000,65700000
7242394118993939758_pitch_values,26,43.71480725623583,8.921462188178063,7242394118993939758,Justice Buys,justicebuys,6730,120,35600,1400,417100,43,,66,1200000,36600000
7230201662491659525_pitch_values,15,16.965419501133788,13.2622715273833,7230201662491659525,Anya,anya.bumag,1936,7,4282,253,107800,16,,278,818700,21800000
7195558847606508806_pitch_values,29,24.2797052154195,17.916197752011467,7195558847606508806,Sam Shan Shops 🦋,sam.shan.shops,3054,67,12100,2575,213000,24,,937,1100000,41300000
7228337648539061509_pitch_values,15,17.14827664399093,13.12085200578124,7228337648539061509,Sam Shan Shops 🦋,sam.shan.shops,4563,62,23900,1155,543000,17,,937,1100000,41300000
7044307550761946414_pitch_values,12,12.393990929705216,14.523166994465535,7044307550761946414,Margaret & Stetson,everythingenvy,81,2,963,47,64200,12,,27,406000,9400000
7005687437066243333_pitch_values,2,11.375215419501131,2.6373126919925767,7005687437066243333,Jared Andersen,stuffyouactuallyneed,109,22,1853,163,65100,11,,1083,1400000,65700000
6856157769188265221_pitch_values,6,15.16297052154195,5.935512429582151,6856157769188265221,Jared Andersen,stuffyouactuallyneed,223,68,14400,54,188400,15,,1083,1400000,65700000
7040928653991054598_pitch_values,7,10.696031746031746,9.816724790383615,7040928653991054598,Anya,anya.bumag,277,7,2174,44,52400,10,,278,818700,21800000
7145951014259133702_pitch_values,13,22.00705215419501,8.860796013646418,7145951014259133702,Sam Shan Shops 🦋,sam.shan.shops,956,6,2397,149,71300,22,,937,1100000,41300000
7003772914784865542_pitch_values,22,21.510725623582765,15.341184010929526,7003772914784865542,Margaret & Stetson,everythingenvy,52,1,638,71,42900,21,True,27,406000,9400000
7348620171407363371_pitch_values,14,8.606235827664399,24.40091164187756,7348620171407363371,Margaret & Stetson,everythingenvy,297,6,560,100,34500,8,,27,406000,9400000
7202039106061257989_pitch_values,16,18.29766439909297,13.116428127947138,7202039106061257989,Sam Shan Shops 🦋,sam.shan.shops,2632,13,9233,1514,216400,18,,937,1100000,41300000
7188965099011345710_pitch_values,16,18.663378684807256,12.85940793750114,7188965099011345710,Justice Buys,justicebuys,31400,456,197800,10000,4200000,18,,66,1200000,36600000
7179367511320726790_pitch_values,17,15.894399092970522,16.043387265440984,7179367511320726790,Sam Shan Shops 🦋,sam.shan.shops,1825,13,6463,545,164600,15,,937,1100000,41300000
7200550508065524998_pitch_values,11,16.808684807256235,9.816353979626664,7200550508065524998,Sam Shan Shops 🦋,sam.shan.shops,5917,50,25700,2377,729900,16,,937,1100000,41300000
7349997800874102062_pitch_values,22,23.26092970521542,14.18687920827212,7349997800874102062,Sarah Lindner,thehouseofsequins,1837,14,4311,405,214400,23,,27,417300,14300000
7204856507178011950_pitch_values,18,22.71235827664399,11.887801201060288,7204856507178011950,Sarah Lindner,thehouseofsequins,108,2,393,17,10400,22,,27,417300,14300000
7236409616878423302_pitch_values,21,24.67154195011338,12.767746768197128,7236409616878423302,Sam Shan Shops 🦋,sam.shan.shops,7475,41,34600,4912,620000,24,,937,1100000,41300000
7194129838561676587_pitch_values,21,16.338480725623583,19.279638375799934,7194129838561676587,Justice Buys,justicebuys,3655,47,23200,716,572300,16,,66,1200000,36600000
7169713529132420358_pitch_values,29,20.62256235827664,21.09340209246197,7169713529132420358,Sam Shan Shops 🦋,sam.shan.shops,922,16,3284,261,157400,20,,937,1100000,41300000
