file_name,intonations,duration,intonation_per_15,id,author_uniqueId,stats_diggCount,stats_shareCount,stats_commentCount,stats_playCount,stats_collectCount,authorStats_followingCount,authorStats_followerCount,authorStats_heartCount,authorStats_videoCount,authorStats_diggCount
7306201830168481054_pitch_values,82,150.3727664399093,8.179672617059435,7306201830168481054,delaneylynnesmith,148800.0,4949.0,1365.0,2100000.0,71900.0,255.0,279600.0,7200000.0,958.0,1696.0
7320782185550679338_pitch_values,59,199.5613378684808,4.434726733407911,7320782185550679338,alyssaathenaa,25800.0,148.0,257.0,235900.0,11000.0,326.0,47200.0,1000000.0,269.0,14300.0
7288699360202820870_pitch_values,49,91.62337868480724,8.021970053390705,7288699360202820870,olive.library,8428.0,67.0,73.0,143000.0,4567.0,388.0,20200.0,1700000.0,454.0,12400.0
7319647306595257642_pitch_values,4,15.476439909297053,3.8768605927230473,7319647306595257642,sinisterbookrecs,576800.0,25400.0,2960.0,5000000.0,141500.0,49.0,30000.0,733700.0,689.0,791.0
7376083784275332398_pitch_values,50,89.82092970521542,8.349946971840923,7376083784275332398,jolie_reads,45100.0,749.0,200.0,365900.0,13000.0,832.0,260500.0,7100000.0,1211.0,15100.0
7351549208228580654_pitch_values,76,166.77766439909297,6.835447684841184,7351549208228580654,babygyalreadit,4735.0,77.0,117.0,62700.0,2183.0,414.0,54100.0,1900000.0,554.0,24400.0
7257698617966791978_pitch_values,212,253.0078684807256,12.568779062467204,7257698617966791978,ellalucillee,79700.0,623.0,249.0,1300000.0,20700.0,358.0,55700.0,1400000.0,72.0,24900.0
7244229543853083909_pitch_values,92,177.8797052154195,7.75805198422588,7244229543853083909,lettersfrommads,484200.0,7891.0,2184.0,6600000.0,147300.0,62.0,128800.0,3100000.0,214.0,3616.0
7299602559377984811_pitch_values,228,266.27807256235826,12.843716221504074,7299602559377984811,alexisxleanne,156300.0,460.0,864.0,1100000.0,37300.0,276.0,125400.0,4000000.0,195.0,6481.0
7367504345836850478_pitch_values,88,190.4184807256236,6.932100261329176,7367504345836850478,delaneylynnesmith,21600.0,373.0,1781.0,278400.0,6918.0,255.0,279600.0,7200000.0,958.0,1696.0
7338194698655386885_pitch_values,26,25.324603174603176,15.400043874768873,7338194698655386885,cassiesbooktok,145100.0,479.0,879.0,1300000.0,20500.0,202.0,1100000.0,386800000.0,3700.0,79200.0
7339685407170514222_pitch_values,115,128.3515419501134,13.439651552222555,7339685407170514222,whereismylibrarycard,5463.0,68.0,321.0,53100.0,1521.0,733.0,40200.0,794400.0,441.0,25600.0
7386379881363361032_pitch_values,46,103.56133786848072,6.66271809732968,7386379881363361032,ashsreads,91400.0,6073.0,409.0,1200000.0,57700.0,575.0,82700.0,2400000.0,1849.0,11300.0
7390934628724591918_pitch_values,67,154.00378684807256,6.525813556724096,7390934628724591918,sybrenna,4213.0,131.0,39.0,52500.0,2247.0,871.0,10200.0,130800.0,278.0,33700.0
7378527790661930283_pitch_values,20,325.60215419501134,0.9213698255212478,7378527790661930283,vinopapi23,289900.0,19600.0,4487.0,3100000.0,161600.0,755.0,149000.0,1200000.0,68.0,26600.0
7371880959496506666_pitch_values,9,77.46501133786848,1.7427222647807936,7371880959496506666,jolie_reads,691100.0,10800.0,5215.0,5500000.0,161200.0,832.0,260500.0,7100000.0,1211.0,15100.0
7356038668194172206_pitch_values,8,7.300113378684808,16.438100858869024,7356038668194172206,caitlinbea,202500.0,17500.0,1127.0,1600000.0,24800.0,129.0,248500.0,6700000.0,682.0,8673.0
