file_name,intonations,duration,intonation_per_15,id,author_nickname,author_uniqueId,stats_collectCount,stats_commentCount,stats_diggCount,stats_shareCount,stats_playCount,video_duration,authorStats_followingCount,authorStats_followerCount,authorStats_heartCount,genre,authorStats_videoCount,authorStats_diggCount
7236516655826750725_pitch_values,9,12.629092970521542,10.68960378351106,7236516655826750725,Anya,anya.bumag,2295.0,20.0,6833.0,773.0,179200.0,12.0,278.0,818700.0,21800000.0,amazon,,
7310344854129642757_pitch_values,153,82.37603174603174,27.86004559039172,7310344854129642757,Sam Shan Shops 🦋,sam.shan.shops,401100.0,4111.0,1100000.0,110600.0,15800000.0,82.0,937.0,1100000.0,41300000.0,amazon,,
7185585185465879854_pitch_values,54,35.616848072562355,22.74204607745704,7185585185465879854,Jared Andersen,stuffyouactuallyneed,1381.0,37.0,10100.0,377.0,131000.0,35.0,1083.0,1400000.0,65700000.0,amazon,,
7171239119006387502_pitch_values,11,18.062562358276644,9.134916559853067,7171239119006387502,Justice Buys,justicebuys,14600.0,217.0,86000.0,2344.0,1800000.0,18.0,66.0,1200000.0,36600000.0,amazon,,
7254545022639426822_pitch_values,68,47.55480725623583,21.44893563555025,7254545022639426822,Sam Shan Shops 🦋,sam.shan.shops,23200.0,325.0,91300.0,11100.0,2200000.0,47.0,937.0,1100000.0,41300000.0,amazon,,
7254410849408797957_pitch_values,87,50.402154195011335,25.89175047857707,7254410849408797957,Sam Shan Shops 🦋,sam.shan.shops,37200.0,494.0,131900.0,21000.0,3500000.0,50.0,937.0,1100000.0,41300000.0,amazon,,
7305075149299076358_pitch_values,72,33.26582766439909,32.465748662427245,7305075149299076358,Sam Shan Shops 🦋,sam.shan.shops,2766.0,28.0,7430.0,283.0,235500.0,33.0,937.0,1100000.0,41300000.0,amazon,,
6860241089639550214_pitch_values,16,21.58909297052154,11.116724557520962,6860241089639550214,Jared Andersen,stuffyouactuallyneed,447.0,87.0,6184.0,201.0,107400.0,21.0,1083.0,1400000.0,65700000.0,amazon,,
7099984995715927301_pitch_values,9,13.987460317460318,9.65150191214353,7099984995715927301,Anya,anya.bumag,771.0,10.0,4097.0,84.0,81700.0,14.0,278.0,818700.0,21800000.0,amazon,,
7277685183816633646_pitch_values,42,34.04950113378685,18.50247372273128,7277685183816633646,Jared Andersen,stuffyouactuallyneed,1077.0,68.0,13000.0,279.0,179600.0,34.0,1083.0,1400000.0,65700000.0,amazon,,
7257601562061671685_pitch_values,32,19.26419501133787,24.916691287515405,7257601562061671685,Sam Shan Shops 🦋,sam.shan.shops,3573.0,28.0,19300.0,1552.0,421400.0,19.0,937.0,1100000.0,41300000.0,amazon,,
6909995489333087493_pitch_values,26,17.513990929705216,22.267911498031378,6909995489333087493,Anya,anya.bumag,2784.0,61.0,35000.0,1113.0,544300.0,17.0,278.0,818700.0,21800000.0,amazon,,
7006080822990195974_pitch_values,5,18.42827664399093,4.069832543156221,7006080822990195974,Jared Andersen,stuffyouactuallyneed,12100.0,722.0,193700.0,8858.0,3300000.0,18.0,1083.0,1400000.0,65700000.0,amazon,,
7098430784482086186_pitch_values,24,17.696848072562357,20.34260556026093,7098430784482086186,Margaret & Stetson,everythingenvy,767.0,45.0,6723.0,1193.0,323600.0,17.0,27.0,406000.0,9400000.0,amazon,,
7201515135079353605_pitch_values,32,24.85439909297052,19.31247656418926,7201515135079353605,Sam Shan Shops 🦋,sam.shan.shops,2968.0,10.0,10900.0,665.0,216800.0,24.0,937.0,1100000.0,41300000.0,amazon,,
7029486583434710278_pitch_values,11,12.811950113378686,12.878601504052162,7029486583434710278,Anya,anya.bumag,617.0,10.0,6424.0,227.0,78200.0,12.0,278.0,818700.0,21800000.0,amazon,,
7098727274781904174_pitch_values,36,46.90174603174603,11.51343064359468,7098727274781904174,AMAZON FINDS,ariellebrimhall,0.0,0.0,18.0,0.0,618.0,47.0,1988.0,209600.0,2900000.0,amazon,,
7175544526260587822_pitch_values,11,12.733582766439907,12.957861351862965,7175544526260587822,Jared Andersen,stuffyouactuallyneed,282.0,10.0,3730.0,176.0,89900.0,12.0,1083.0,1400000.0,65700000.0,amazon,,
7216004876747148550_pitch_values,19,17.513990929705216,16.2727045562537,7216004876747148550,Sam Shan Shops 🦋,sam.shan.shops,1554.0,9.0,7359.0,319.0,217800.0,17.0,937.0,1100000.0,41300000.0,amazon,,
7203841878519811333_pitch_values,25,17.931950113378686,20.91239366767029,7203841878519811333,Sam Shan Shops 🦋,sam.shan.shops,16100.0,246.0,83100.0,15000.0,2600000.0,17.0,937.0,1100000.0,41300000.0,amazon,,
7084024923974290730_pitch_values,15,39.06501133786848,5.759629711969175,7084024923974290730,AMAZON FINDS,ariellebrimhall,1.0,0.0,8.0,0.0,347.0,39.0,1988.0,209600.0,2900000.0,amazon,,
