file_name,intonations,duration,intonation_per_15,id,author_uniqueId,stats_diggCount,stats_shareCount,stats_commentCount,stats_playCount,stats_collectCount,authorStats_followingCount,authorStats_followerCount,authorStats_heartCount,authorStats_videoCount,authorStats_diggCount
7267135268262530305_pitch_values,125,106.66990929705216,17.577590647223097,7267135268262530305,ambers.vl0gz,867700,11800,6624,7600000,87500,483,715500,32600000,450,29100
7202674344118537478_pitch_values,40,176.2339909297052,3.404564561210687,7202674344118537478,katiefanggg,732100,3313,3092,4700000,43200,139,5200000,316400000,864,1043
7374159222956756230_pitch_values,26,43.662562358276645,8.932137257539395,7374159222956756230,kenz5954,2500000,36100,4962,13800000,90800,887,779900,51100000,684,170800
7198124383557143851_pitch_values,67,86.26827664399093,11.64970530415718,7198124383557143851,sarah..grwms,1400000,58600,14100,9700000,53500,85,616500,21400000,132,197
7317017754874285317_pitch_values,95,158.60133786848073,8.984791800316799,7317017754874285317,katiefanggg,569300,535,2105,4400000,26600,139,5200000,316400000,864,1043
7364346057511243051_pitch_values,16,209.30501133786848,1.1466519528888988,7364346057511243051,itz_justlola,342300,524,767,2700000,13500,429,1300000,77600000,646,23800
7327442011789856042_pitch_values,90,158.60133786848073,8.511908021352758,7327442011789856042,julietteweg,332500,571,3602,2900000,27200,149,3100000,174300000,1270,8058
7278334911088610606_pitch_values,89,198.2552154195012,6.733744669340409,7278334911088610606,lottie..weaver,293600,2489,2774,4900000,19900,185,1300000,87600000,2200,2543
7272531412211780907_pitch_values,42,60.04133786848072,10.492770853640897,7272531412211780907,luvv4iys,187000,1803,631,1500000,22800,980,1700000,66700000,383,65100
7243632895179459886_pitch_values,42,107.87154195011338,5.84027991637824,7243632895179459886,miacpuckett,783500,3587,2622,5900000,44400,42,597100,20400000,275,596
7392415798645558559_pitch_values,44,110.43154195011338,5.9765533320013775,7392415798645558559,kiyonlovesgrwm,67000,1353,567,365100,8516,1643,136400,1700000,125,9703
7358223180751850795_pitch_values,62,66.23235827664399,14.04147495572346,7358223180751850795,.isaescu,136400,350,444,1500000,4141,305,1900000,226800000,1118,13800
7355556865742490926_pitch_values,54,62.23562358276644,13.015053973433565,7355556865742490926,.isaescu,126500,332,154,1300000,4089,305,1900000,226800000,1118,13800
7374575565552078123_pitch_values,71,75.7931746031746,14.051397181552971,7374575565552078123,demetradias,254600,724,714,2100000,8269,152,2700000,197700000,558,26100
7372327511872605482_pitch_values,262,255.2282766439909,15.397980394945897,7372327511872605482,giannamjoyce,140700,3323,599,907500,17300,634,10200000,626900000,3538,20100
7369233108656278816_pitch_values,37,108.62909297052154,5.1091285476406325,7369233108656278816,madsssgrwms,627900,32200,10800,11000000,54100,2277,663200,30600000,509,44800
7393830749180267819_pitch_values,105,103.48297052154194,15.219895525439464,7393830749180267819,krissleos,149200,681,4734,1200000,12000,444,2800000,97100000,1304,87200
7276946131785927982_pitch_values,18,113.46174603174605,2.379656663528299,7276946131785927982,sienna.sacco_,390700,19500,1127,5800000,30400,163,538800,20900000,766,52600
7344401364765789482_pitch_values,20,136.52786848072563,2.1973535757818747,7344401364765789482,martaylor6,238300,5513,2516,1800000,12600,532,278000,12200000,982,16800
7331092594400824618_pitch_values,79,85.27562358276644,13.896116500981876,7331092594400824618,krissleos,502600,896,2977,6200000,50600,444,2800000,97100000,1304,87200
7328872893650111787_pitch_values,17,36.37439909297052,7.010425089036856,7328872893650111787,yazmin.adalynn,72500,497,3532,971500,5939,884,181100,19500000,3042,44600
