file_name,intonations,duration,intonation_per_15,id,author_uniqueId,stats_diggCount,stats_shareCount,stats_commentCount,stats_playCount,stats_collectCount,authorStats_followingCount,authorStats_followerCount,authorStats_heartCount,authorStats_videoCount,authorStats_diggCount
7278063994366381358_pitch_values,33,47.92052154195012,10.329603770415392,7278063994366381358,aidxnft,6065,48,50,190500,658,61,896200,15300000,833,1555
7207635437840600366_pitch_values,56,169.8862358276644,4.944485325180263,7207635437840600366,lust4butta,4614,125,92,192200,653,340,7532,54800,47,850
7357865762192821550_pitch_values,52,75.97603174603175,10.266395626022408,7357865762192821550,lexi_stizzy,677600,37000,5636,4300000,16400,401,2919,1100000,153,60100
7343014651367525675_pitch_values,178,237.0731746031746,11.26234549509528,7343014651367525675,officialxmookie,17900,129,299,227000,1574,1555,5300000,254300000,2786,17100
7187992844739579182_pitch_values,86,137.2331746031746,9.400059451588016,7187992844739579182,kyladiane,951500,72300,10200,4300000,63600,20,224100,22100000,877,90500
7275109806053018923_pitch_values,63,108.28950113378684,8.726607751498408,7275109806053018923,littledrownedrat,356600,69400,4237,3300000,14100,718,664400,15800000,333,36600
7390188974024723743_pitch_values,29,80.9131746031746,5.376133146837783,7390188974024723743,co.letter,245500,3257,535,1200000,5391,179,6928,3300000,173,3108
7341843567477902634_pitch_values,96,272.9915419501134,5.2748887006292176,7341843567477902634,carissaadanielle,759900,1841,3514,6300000,28800,303,552600,16400000,278,31600
7357816559865220395_pitch_values,102,221.29521541950115,6.913841300633797,7357816559865220395,notkaelynwilkins,1200000,27800,4257,7500000,79700,140,1200000,43000000,282,32900
7208651318477458734_pitch_values,128,178.08868480725624,10.781145371913992,7208651318477458734,mrs.isabelabarbosa,2000000,355200,29100,12100000,192100,424,1100000,37600000,709,15900
7323708527359495470_pitch_values,96,122.65684807256235,11.74007014388722,7323708527359495470,haleyybaylee,878600,2939,4805,6200000,67300,446,10000000,1100000000,2976,33500
7221252973941280005_pitch_values,104,165.1058276643991,9.448485387026558,7221252973941280005,monicagartner,460800,4151,952,4600000,26000,85,931000,57700000,898,36200
7394887593613085982_pitch_values,52,104.5801133786848,7.458396962868249,7394887593613085982,jellybean.sweets,15600,262,417,447900,427,528,692100,31900000,786,9155
7349784236745952543_pitch_values,19,33.39643990929705,8.533843750233402,7349784236745952543,twizzy.lizzy,578000,3902,3229,3600000,26700,121,73200,4800000,212,11800
7372634229747928366_pitch_values,110,106.43480725623584,15.50244739042668,7372634229747928366,user7297010814922,356500,1602,2393,6700000,28300,6,21600,426200,85,20
7366729382314003754_pitch_values,217,443.4666439909297,7.339898150415514,7366729382314003754,lily.grwm427,101800,889,546,886400,7749,8,8376,116600,16,79
7251348034192428334_pitch_values,116,173.22990929705216,10.044454834968905,7251348034192428334,imthejamishaymachine,382700,16500,5864,2100000,25200,1720,560800,43900000,1538,24800
6891661268936117510_pitch_values,82,56.12297052154195,21.916159971038653,6891661268936117510,ayannasabrina,478000,1091,1282,3000000,15800,687,2600000,61500000,911,27300
7357807986170957099_pitch_values,72,66.59807256235828,16.216685535287155,7357807986170957099,elexiswiley,2932,1304,173,92400,515,2462,12100,170200,123,6307
7176753252539649322_pitch_values,62,59.96297052154195,15.509571855948892,7176753252539649322,estertaniaj,781800,34400,2994,8500000,37200,667,2400000,132400000,2122,26300
7233885561994399022_pitch_values,139,179.31643990929706,11.627489376069745,7233885561994399022,evaamarieee_,193700,641,291,1000000,8242,544,645200,30700000,941,46100
7343771945290288426_pitch_values,181,255.41113378684807,10.629920316104108,7343771945290288426,officialxmookie,254400,1273,3014,1800000,24200,1555,5300000,254300000,2786,17100
7205260064741952810_pitch_values,175,157.0601133786848,16.7133458873222,7205260064741952810,sheislivi,2100000,8818,6186,15200000,115300,144,1400000,77400000,1902,11500
7319710677294189866_pitch_values,6,13.647868480725624,6.594436349317379,7319710677294189866,.dvoqq,311400,6495,3365,1800000,28300,132,63100,6500000,278,28900
7377513781791853867_pitch_values,42,47.60705215419501,13.233333539734534,7377513781791853867,kyraevanshughes,157100,8964,870,711100,7559,579,78600,7800000,1365,132700
7394850344083197214_pitch_values,78,61.451950113378686,19.0392656024968,7394850344083197214,thesephew,4460,1374,158,25800,271,116,449600,31000000,1501,2216
